City,State,Country,Zip,FIPS,County
Hamilton,ON,Canada,L8P 2Z6,CA08,Northumberland
San Diego,CA,United States,92129,06073,San Diego
Euless,TX,United States,76039,48439,Tarrant
Columbus,OH,United States,43215,39049,Franklin
Columbus,OH,United States,43201,39049,Franklin
Columbus,OH,United States,43202,39049,Franklin
San Francisco,CA,United States,44104,06075,Cuyahoga
Columbus,OH,United States,43235,39049,Franklin
Westerville,OH,United States,43081,39049,Franklin
Westerville,OH,United States,43081,39049,Franklin
Westerville,OH,United States,43081,39049,Franklin
Westerville,OH,United States,43081,39049,Franklin
Atlanta,GA,United States,30324,13121,Fulton
Columbus,OH,United States,43215,39049,Franklin
Columbus,OH,United States,43215,39049,Franklin
Columbus,OH,United States,43215,39049,Franklin
Columbus,OH,United States,43026,39049,Franklin
Columbus,OH,United States,43210,39049,Franklin
Columbus,OH,United States,43210,39049,Franklin
Columbus,OH,United States,43068,39089,Licking
Maumee,OH,United States,43537,39095,Lucas
Chicago,IL,United States,60607,17031,Cook
Lehi,UT,United States,84043,49049,Utah
Lehi,UT,United States,84043,49049,Utah
Columbus,OH,United States,43119,39049,Franklin
Columbus,OH,United States,43210,39049,Franklin
Columbus,OH,United States,43215,39049,Franklin
Columbus,OH,United States,43221,39049,Franklin
Columbus,OH,United States,43220,39049,Franklin
Westerville,OH,United States,43082,39041,Delaware
Westerville,OH,United States,43082,39041,Delaware
Westerville,OH,United States,43082,39041,Delaware
Lockbourne,OH,United States,43137,39129,Pickaway
Columbus,OH,United States,43215,39049,Franklin
Columbus,Oh,United States,43205,39049,Franklin
Lockbourne,OH,United States,43137,39129,Pickaway
Columbus,OH,United States,43215,39049,Franklin
Columbus,OH,United States,43215,39049,Franklin
Nashport,OH,United States,43830,39119,Muskingum
Columbus,OH,United States,43221,39049,Franklin
Columbus,OH,United States,43215,39049,Franklin
Arlington,VA,United States,22203,51013,Arlington
Gambier,OH,United States,43022,39083,Knox
Gambier,OH,United States,43022,39083,Knox
Columbus,OH,United States,43219,39049,Franklin
Columbus,OH,United States,43219,39049,Franklin
Columbus,OH,United States,43219,39049,Franklin
Columbus,OH,United States,43219,39049,Franklin
Cleveland,OH,United States,44113,39035,Cuyahoga
Marysville,OH,United States,43040,39159,Union
Marysville,OH,United States,43040,39159,Union
Marysville,OH,United States,43040,39159,Union
Marysville,OH,United States,43040,39159,Union
Columbus,OH,United States,43202,39049,Franklin
Columbus,OH,United States,43215,39049,Franklin
Des Moines,IA,United States,50309,19153,Polk
Galena,OH,United States,43021,39041,Delaware
Marysville,OH,United States,43340,39159,Union
Columbus,OH,United States,43215,39049,Franklin
Marysville,OH,United States,43040,39159,Union
Evendale,OH,United States,45241,39061,Hamilton
Columbus,OH,United States,43230,39049,Franklin
Columbus,OH,United States,43210,39049,Franklin
Columbus,OH,United States,43210,39049,Franklin
Exton,PA,United States,19341,42029,Chester
Columbus,OH,United States,43215,39049,Franklin
Columbus,OH,United States,43215,39049,Franklin
Columbus,OH,United States,43209,39049,Franklin
Columbus,OH,United States,43209,39049,Franklin
Columbus,OH,United States,43209,39049,Franklin
Columbus,OH,United States,43209,39049,Franklin
Columbus,OH,United States,43209,39049,Franklin
Columbus,OH,United States,43209,39049,Franklin
Columbus,OH,United States,43209,39049,Franklin
Columbus,OH,United States,43209,39049,Franklin
Columbus,OH,United States,43209,39049,Franklin
Columbus,OH,United States,43209,39049,Franklin
Columbus,OH,United States,43219,39049,Franklin
Columbus,OH,United States,43215,39049,Franklin
